"Unlimited Domain","Unlimited Domains"
"Developer","Developer"
"Enable","Enable"
"Disable","Disable"
"License Info","License Info"
"Extension Feedbacks","Extension Feedback"
"This feedback is already sent to Magestore.com","Your feedback was sent to Magestore.com"
"This feedback had been sent to Magestore.com","Your feedback has been sent to Magestore.com"
"This message is already sent","This message was sent"
"This message had been sent","This message has been sent"
"Item was successfully saved","Item successfully updated"
"Unable to find item to save","Unable to find an item to save"
"Item was successfully deleted","Item successfully deleted"
"for upgrade to","for upgrade to"
"Upgrade Now","Upgrade Now"
"Delete File","Delete File"
"Transaction Detail","Transaction Details"
"Transaction Detail:","Transaction Details:"
"Order Number","Order Number"
"Add More","Add More"
"Sent to","Sent to"
"Purchase now","Purchase now"
"Upgrade License to","Upgrade License to"
"View Price","View Price"
"Select contact to send email","Select contacts email" 
"You can use this suggested message or, better yet, write your own on the popup","You can use the suggested message or write a personalized one"
"There are no data matching this selection.","No data matches the criteria."
"There are no commission matching this selection.","There are no commissions matching the criteria."
"There are no withdrawals matching this selection.","There are no withdrawals matching the criteria."
"Affiliate Type","Calculate commissions based on"
"Affiliate commission type","Affiliate commission type"
"Affiliate commission","Affiliate commission"
"Affiliate discount type","Affiliate discount type"
"Affiliate discount","Affiliate discount"
"Expired Time (days)","Expiry Time (days)"
"Discount type","Discount type"
"Additional Sales Commission","Additional Sales Commission"
"Sales calculation type","Sales calculation type"
"Additional commission type","Additional commission type"
"Enable monthly commission added","Enable additional monthly commission"
"Enable yearly commission added","Enable additional yearly commission"
"Visible in Frontend","Visible on Frontend"
"Refer Friend Configuration","Refer a Friend Configuration"
"Personal Url Prefix","Personal URL Prefix"
"Refer Friend Description","Refer a Friend Description"
"Sharing Message","Sharing Message"
"Default Invite Email Content","Default Email Invitation Content"
"Yahoo Application ID","Yahoo Application ID"
"Yahoo Consumer Key","Yahoo Consumer Key"
"Yahoo Consumer Secret","Yahoo Consumer Secret"
"Google Consumer Key","Google Consumer Key"
